观测序号_Nobs,代码_Code,证券名称_Secunm,行情日期_Qdate,标准时间_StdTime,最高价(元)_Hipr,最低价(元)_Lopr,成交价(元)_TPrice,...9
254593,600028,中国石化,2017-01-04,14:10:00,5.59,5.46,5.57,NA
254594,600028,中国石化,2017-01-04,14:15:00,5.59,5.46,5.56,NA
254595,600028,中国石化,2017-01-04,14:20:00,5.59,5.46,5.54,NA
254596,600028,中国石化,2017-01-04,14:25:00,5.59,5.46,5.56,NA
254597,600028,中国石化,2017-01-04,14:30:00,5.59,5.46,5.55,NA
254598,600028,中国石化,2017-01-04,14:35:00,5.59,5.46,5.55,NA
254599,600028,中国石化,2017-01-04,14:40:00,5.59,5.46,5.56,NA
254600,600028,中国石化,2017-01-04,14:45:00,5.59,5.46,5.55,NA
254601,600028,中国石化,2017-01-04,14:50:00,5.59,5.46,5.56,NA
254602,600028,中国石化,2017-01-04,14:55:00,5.59,5.46,5.57,NA
254603,600028,中国石化,2017-01-04,15:00:00,5.59,5.46,5.57,NA
254604,600028,中国石化,2017-01-05,09:20:00,NA,NA,NA,NA
254605,600028,中国石化,2017-01-05,09:25:00,NA,NA,NA,NA
254606,600028,中国石化,2017-01-05,09:30:00,5.55,5.55,5.55,NA
254607,600028,中国石化,2017-01-05,09:35:00,5.58,5.54,5.56,NA
254608,600028,中国石化,2017-01-05,09:40:00,5.58,5.54,5.58,NA
254609,600028,中国石化,2017-01-05,09:45:00,5.59,5.54,5.59,NA
254610,600028,中国石化,2017-01-05,09:50:00,5.6,5.54,5.6,NA
254611,600028,中国石化,2017-01-05,09:55:00,5.61,5.54,5.6,NA
254612,600028,中国石化,2017-01-05,10:00:00,5.61,5.54,5.6,NA
254613,600028,中国石化,2017-01-05,10:05:00,5.61,5.54,5.61,NA
254614,600028,中国石化,2017-01-05,10:10:00,5.61,5.54,5.61,NA
254615,600028,中国石化,2017-01-05,10:15:00,5.61,5.54,5.61,NA
254616,600028,中国石化,2017-01-05,10:20:00,5.62,5.54,5.62,NA
254617,600028,中国石化,2017-01-05,10:25:00,5.67,5.54,5.65,NA
254618,600028,中国石化,2017-01-05,10:30:00,5.67,5.54,5.65,NA
254619,600028,中国石化,2017-01-05,10:35:00,5.68,5.54,5.67,NA
254620,600028,中国石化,2017-01-05,10:40:00,5.69,5.54,5.67,NA
254621,600028,中国石化,2017-01-05,10:45:00,5.69,5.54,5.66,NA
254622,600028,中国石化,2017-01-05,10:50:00,5.69,5.54,5.66,NA
254623,600028,中国石化,2017-01-05,10:55:00,5.69,5.54,5.65,NA
254624,600028,中国石化,2017-01-05,11:00:00,5.69,5.54,5.65,NA
254625,600028,中国石化,2017-01-05,11:05:00,5.69,5.54,5.65,NA
254626,600028,中国石化,2017-01-05,11:10:00,5.69,5.54,5.65,NA
254627,600028,中国石化,2017-01-05,11:15:00,5.69,5.54,5.64,NA
254628,600028,中国石化,2017-01-05,11:20:00,5.69,5.54,5.64,NA
254629,600028,中国石化,2017-01-05,11:25:00,5.69,5.54,5.63,NA
254630,600028,中国石化,2017-01-05,11:30:00,5.69,5.54,5.63,NA
254631,600028,中国石化,2017-01-05,13:05:00,5.69,5.54,5.63,NA
254632,600028,中国石化,2017-01-05,13:10:00,5.69,5.54,5.64,NA
254633,600028,中国石化,2017-01-05,13:15:00,5.69,5.54,5.63,NA
254634,600028,中国石化,2017-01-05,13:20:00,5.69,5.54,5.62,NA
254635,600028,中国石化,2017-01-05,13:25:00,5.69,5.54,5.61,NA
254636,600028,中国石化,2017-01-05,13:30:00,5.69,5.54,5.62,NA
254637,600028,中国石化,2017-01-05,13:35:00,5.69,5.54,5.61,NA
254638,600028,中国石化,2017-01-05,13:40:00,5.69,5.54,5.61,NA
254639,600028,中国石化,2017-01-05,13:45:00,5.69,5.54,5.61,NA
254640,600028,中国石化,2017-01-05,13:50:00,5.69,5.54,5.63,NA
254641,600028,中国石化,2017-01-05,13:55:00,5.69,5.54,5.64,NA
254642,600028,中国石化,2017-01-05,14:00:00,5.69,5.54,5.64,NA
254643,600028,中国石化,2017-01-05,14:05:00,5.69,5.54,5.68,NA
254644,600028,中国石化,2017-01-05,14:10:00,5.75,5.54,5.75,NA
254645,600028,中国石化,2017-01-05,14:15:00,5.76,5.54,5.73,NA
254646,600028,中国石化,2017-01-05,14:20:00,5.76,5.54,5.73,NA
254647,600028,中国石化,2017-01-05,14:25:00,5.76,5.54,5.71,NA
254648,600028,中国石化,2017-01-05,14:30:00,5.76,5.54,5.72,NA
254649,600028,中国石化,2017-01-05,14:35:00,5.76,5.54,5.72,NA
254650,600028,中国石化,2017-01-05,14:40:00,5.81,5.54,5.78,NA
254651,600028,中国石化,2017-01-05,14:45:00,5.81,5.54,5.77,NA
254652,600028,中国石化,2017-01-05,14:50:00,5.81,5.54,5.75,NA
254653,600028,中国石化,2017-01-05,14:55:00,5.81,5.54,5.73,NA
254654,600028,中国石化,2017-01-05,15:00:00,5.81,5.54,5.75,NA
254655,600028,中国石化,2017-01-05,15:05:00,5.81,5.54,5.75,NA
254656,600028,中国石化,2017-01-06,09:20:00,NA,NA,NA,NA
254657,600028,中国石化,2017-01-06,09:25:00,NA,NA,NA,NA
254658,600028,中国石化,2017-01-06,09:30:00,5.78,5.78,5.78,NA
254659,600028,中国石化,2017-01-06,09:35:00,5.79,5.74,5.77,NA
254660,600028,中国石化,2017-01-06,09:40:00,5.91,5.74,5.9,NA
254661,600028,中国石化,2017-01-06,09:45:00,6.01,5.74,5.98,NA
254662,600028,中国石化,2017-01-06,09:50:00,6.01,5.74,5.94,NA
254663,600028,中国石化,2017-01-06,09:55:00,6.01,5.74,5.94,NA
254664,600028,中国石化,2017-01-06,10:00:00,6.01,5.74,5.94,NA
254665,600028,中国石化,2017-01-06,10:05:00,6.01,5.74,5.97,NA
254666,600028,中国石化,2017-01-06,10:10:00,6.01,5.74,5.95,NA
255425,600028,中国石化,2017-01-26,13:25:00,6.09,5.99,6.02,NA
255426,600028,中国石化,2017-01-26,13:30:00,6.09,5.99,6.01,NA
255427,600028,中国石化,2017-01-26,13:35:00,6.09,5.99,6.02,NA
255428,600028,中国石化,2017-01-26,13:40:00,6.09,5.99,6.02,NA
255429,600028,中国石化,2017-01-26,13:45:00,6.09,5.99,6.02,NA
255430,600028,中国石化,2017-01-26,13:50:00,6.09,5.99,6.02,NA
255431,600028,中国石化,2017-01-26,13:55:00,6.09,5.99,6.02,NA
255432,600028,中国石化,2017-01-26,14:00:00,6.09,5.99,6.02,NA
255433,600028,中国石化,2017-01-26,14:05:00,6.09,5.99,6.03,NA
255434,600028,中国石化,2017-01-26,14:10:00,6.09,5.99,6.03,NA
255435,600028,中国石化,2017-01-26,14:15:00,6.09,5.99,6.02,NA
255436,600028,中国石化,2017-01-26,14:20:00,6.09,5.99,6.03,NA
255437,600028,中国石化,2017-01-26,14:25:00,6.09,5.99,6.01,NA
255438,600028,中国石化,2017-01-26,14:30:00,6.09,5.97,6,NA
255439,600028,中国石化,2017-01-26,14:35:00,6.09,5.97,6.02,NA
255440,600028,中国石化,2017-01-26,14:40:00,6.09,5.97,6.01,NA
255441,600028,中国石化,2017-01-26,14:45:00,6.09,5.97,6.01,NA
255442,600028,中国石化,2017-01-26,14:50:00,6.09,5.97,6.02,NA
255443,600028,中国石化,2017-01-26,14:55:00,6.09,5.97,6.03,NA
255444,600028,中国石化,2017-01-26,15:00:00,6.09,5.97,6.02,NA
255445,600028,中国石化,2017-01-26,15:05:00,6.09,5.97,6.03,NA
255446,600028,中国石化,2017-02-03,09:20:00,NA,NA,NA,NA
255447,600028,中国石化,2017-02-03,09:25:00,NA,NA,NA,NA
255448,600028,中国石化,2017-02-03,09:30:00,6.03,6.03,6.03,NA
255449,600028,中国石化,2017-02-03,09:35:00,6.04,5.99,6,NA
255450,600028,中国石化,2017-02-03,09:40:00,6.04,5.99,6,NA
255451,600028,中国石化,2017-02-03,09:45:00,6.04,5.99,5.99,NA
255452,600028,中国石化,2017-02-03,09:50:00,6.04,5.99,5.99,NA
255453,600028,中国石化,2017-02-03,09:55:00,6.04,5.99,6,NA
255454,600028,中国石化,2017-02-03,10:00:00,6.04,5.99,5.99,NA
255455,600028,中国石化,2017-02-03,10:05:00,6.04,5.96,5.96,NA
255456,600028,中国石化,2017-02-03,10:10:00,6.04,5.92,5.94,NA
255457,600028,中国石化,2017-02-03,10:15:00,6.04,5.9,5.91,NA
255458,600028,中国石化,2017-02-03,10:20:00,6.04,5.9,5.92,NA
255459,600028,中国石化,2017-02-03,10:25:00,6.04,5.9,5.93,NA
255460,600028,中国石化,2017-02-03,10:30:00,6.04,5.9,5.92,NA
255461,600028,中国石化,2017-02-03,10:35:00,6.04,5.9,5.92,NA
255462,600028,中国石化,2017-02-03,10:40:00,6.04,5.9,5.92,NA
255463,600028,中国石化,2017-02-03,10:45:00,6.04,5.9,5.92,NA
255464,600028,中国石化,2017-02-03,10:50:00,6.04,5.9,5.92,NA
255465,600028,中国石化,2017-02-03,10:55:00,6.04,5.9,5.93,NA
255466,600028,中国石化,2017-02-03,11:00:00,6.04,5.9,5.93,NA
255467,600028,中国石化,2017-02-03,11:05:00,6.04,5.9,5.93,NA
255468,600028,中国石化,2017-02-03,11:10:00,6.04,5.9,5.92,NA
255469,600028,中国石化,2017-02-03,11:15:00,6.04,5.9,5.93,NA
255470,600028,中国石化,2017-02-03,11:20:00,6.04,5.9,5.93,NA
255471,600028,中国石化,2017-02-03,11:25:00,6.04,5.9,5.93,NA
255472,600028,中国石化,2017-02-03,11:30:00,6.04,5.9,5.93,NA
