代码_Code,证券名称_Secunm,行情日期_Qdate,标准时间_StdTime,最高价(元)_Hipr,最低价(元)_Lopr,成交价(元)_TPrice,...8
600188,兖州煤业,2021-01-04,09:30:00,10.06,10.06,10.06,NA
600188,兖州煤业,2021-01-04,09:35:00,10.06,9.95,10.04,NA
600188,兖州煤业,2021-01-04,09:40:00,10.09,9.95,10.07,NA
600188,兖州煤业,2021-01-04,09:45:00,10.2,9.95,10.17,NA
600188,兖州煤业,2021-01-04,09:50:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,09:55:00,10.2,9.95,10.06,NA
600188,兖州煤业,2021-01-04,10:00:00,10.2,9.95,10.05,NA
600188,兖州煤业,2021-01-04,10:05:00,10.2,9.95,10.06,NA
600188,兖州煤业,2021-01-04,10:10:00,10.2,9.95,10.09,NA
600188,兖州煤业,2021-01-04,10:15:00,10.2,9.95,10.08,NA
600188,兖州煤业,2021-01-04,10:20:00,10.2,9.95,10.05,NA
600188,兖州煤业,2021-01-04,10:25:00,10.2,9.95,10.08,NA
600188,兖州煤业,2021-01-04,10:30:00,10.2,9.95,10.15,NA
600188,兖州煤业,2021-01-04,10:35:00,10.2,9.95,10.1,NA
600188,兖州煤业,2021-01-04,10:40:00,10.2,9.95,10.09,NA
600188,兖州煤业,2021-01-04,10:45:00,10.2,9.95,10.07,NA
600188,兖州煤业,2021-01-04,10:50:00,10.2,9.95,10.04,NA
600188,兖州煤业,2021-01-04,10:55:00,10.2,9.95,10.06,NA
600188,兖州煤业,2021-01-04,11:00:00,10.2,9.95,10.05,NA
600188,兖州煤业,2021-01-04,11:05:00,10.2,9.95,10.09,NA
600188,兖州煤业,2021-01-04,11:10:00,10.2,9.95,10.07,NA
600188,兖州煤业,2021-01-04,11:15:00,10.2,9.95,10.07,NA
600188,兖州煤业,2021-01-04,11:20:00,10.2,9.95,10.06,NA
600188,兖州煤业,2021-01-04,11:25:00,10.2,9.95,10.11,NA
600188,兖州煤业,2021-01-04,11:30:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,11:35:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,11:40:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,11:45:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,11:50:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,11:55:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,12:00:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,12:35:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,12:40:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,12:45:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,12:50:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,12:55:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,13:00:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,13:05:00,10.2,9.95,10.14,NA
600188,兖州煤业,2021-01-04,13:10:00,10.2,9.95,10.2,NA
600188,兖州煤业,2021-01-04,13:15:00,10.23,9.95,10.16,NA
600188,兖州煤业,2021-01-04,13:20:00,10.23,9.95,10.17,NA
600188,兖州煤业,2021-01-04,13:25:00,10.23,9.95,10.16,NA
600188,兖州煤业,2021-01-04,13:30:00,10.23,9.95,10.14,NA
600188,兖州煤业,2021-01-04,13:35:00,10.23,9.95,10.13,NA
600188,兖州煤业,2021-01-04,13:40:00,10.23,9.95,10.12,NA
600188,兖州煤业,2021-01-04,13:45:00,10.23,9.95,10.12,NA
600188,兖州煤业,2021-01-04,13:50:00,10.23,9.95,10.15,NA
600188,兖州煤业,2021-01-04,13:55:00,10.23,9.95,10.17,NA
600188,兖州煤业,2021-01-04,14:00:00,10.23,9.95,10.15,NA
600188,兖州煤业,2021-01-04,14:05:00,10.23,9.95,10.19,NA
600188,兖州煤业,2021-01-04,14:10:00,10.24,9.95,10.23,NA
600188,兖州煤业,2021-01-04,14:15:00,10.25,9.95,10.24,NA
600188,兖州煤业,2021-01-04,14:20:00,10.25,9.95,10.22,NA
600188,兖州煤业,2021-01-04,14:25:00,10.25,9.95,10.23,NA
600188,兖州煤业,2021-01-04,14:30:00,10.25,9.95,10.2,NA
600188,兖州煤业,2021-01-04,14:35:00,10.25,9.95,10.21,NA
600188,兖州煤业,2021-01-04,14:40:00,10.25,9.95,10.2,NA
600188,兖州煤业,2021-01-04,14:45:00,10.25,9.95,10.22,NA
600188,兖州煤业,2021-01-04,14:50:00,10.25,9.95,10.19,NA
600188,兖州煤业,2021-01-04,14:55:00,10.25,9.95,10.19,NA
600188,兖州煤业,2021-01-04,15:00:00,10.25,9.95,10.19,NA
600188,兖州煤业,2021-01-04,15:05:00,10.25,9.95,10.19,NA
600188,兖州煤业,2021-01-04,15:10:00,10.25,9.95,10.19,NA
600188,兖州煤业,2021-01-04,15:15:00,10.25,9.95,10.19,NA
600188,兖州煤业,2021-01-04,15:20:00,10.25,9.95,10.19,NA
600188,兖州煤业,2021-01-04,15:25:00,10.25,9.95,10.19,NA
600188,兖州煤业,2021-01-04,15:30:00,10.25,9.95,10.19,NA
600188,兖州煤业,2021-01-05,09:30:00,10.15,10.15,10.15,NA
600188,兖州煤业,2021-01-05,09:35:00,10.15,10.03,10.07,NA
600188,兖州煤业,2021-01-05,09:40:00,10.15,10.02,10.04,NA
600188,兖州煤业,2021-01-05,09:45:00,10.15,10,10.01,NA
600188,兖州煤业,2021-01-05,09:50:00,10.15,9.93,9.95,NA
600188,兖州煤业,2021-01-05,09:55:00,10.15,9.87,9.89,NA
600188,兖州煤业,2021-01-05,10:00:00,10.15,9.86,9.92,NA
600188,兖州煤业,2021-01-05,10:05:00,10.15,9.86,9.93,NA
600188,兖州煤业,2021-01-05,10:10:00,10.15,9.86,9.92,NA
600188,兖州煤业,2021-01-05,10:15:00,10.15,9.86,9.96,NA
600188,兖州煤业,2021-01-05,10:20:00,10.15,9.86,9.9,NA
600188,兖州煤业,2021-01-05,10:25:00,10.15,9.86,9.88,NA
600188,兖州煤业,2021-01-05,10:30:00,10.15,9.86,9.91,NA
600188,兖州煤业,2021-01-05,10:35:00,10.15,9.86,9.9,NA
600188,兖州煤业,2021-01-05,10:40:00,10.15,9.86,10,NA
600188,兖州煤业,2021-01-05,10:45:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,10:50:00,10.15,9.86,9.97,NA
600188,兖州煤业,2021-01-05,10:55:00,10.15,9.86,10.01,NA
600188,兖州煤业,2021-01-05,11:00:00,10.15,9.86,9.98,NA
600188,兖州煤业,2021-01-05,11:05:00,10.15,9.86,9.98,NA
600188,兖州煤业,2021-01-05,11:10:00,10.15,9.86,9.96,NA
600188,兖州煤业,2021-01-05,11:15:00,10.15,9.86,9.96,NA
600188,兖州煤业,2021-01-05,11:20:00,10.15,9.86,9.94,NA
600188,兖州煤业,2021-01-05,11:25:00,10.15,9.86,10,NA
600188,兖州煤业,2021-01-05,11:30:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,11:35:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,11:40:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,11:45:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,11:50:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,11:55:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,12:00:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,12:35:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,12:40:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,12:45:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,12:50:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,12:55:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,13:00:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,13:05:00,10.15,9.86,9.98,NA
600188,兖州煤业,2021-01-05,13:10:00,10.15,9.86,9.95,NA
600188,兖州煤业,2021-01-05,13:15:00,10.15,9.86,9.95,NA
600188,兖州煤业,2021-01-05,13:20:00,10.15,9.86,10.02,NA
600188,兖州煤业,2021-01-05,13:25:00,10.15,9.86,9.97,NA
600188,兖州煤业,2021-01-05,13:30:00,10.15,9.86,9.98,NA
600188,兖州煤业,2021-01-05,13:35:00,10.15,9.86,9.96,NA
600188,兖州煤业,2021-01-05,13:40:00,10.15,9.86,9.97,NA
600188,兖州煤业,2021-01-05,13:45:00,10.15,9.86,10,NA
600188,兖州煤业,2021-01-05,13:50:00,10.15,9.86,10,NA
600188,兖州煤业,2021-01-05,13:55:00,10.15,9.86,10.01,NA
600188,兖州煤业,2021-01-05,14:00:00,10.15,9.86,10.04,NA
600188,兖州煤业,2021-01-05,14:05:00,10.15,9.86,10.03,NA
600188,兖州煤业,2021-01-05,14:10:00,10.15,9.86,10.01,NA
600188,兖州煤业,2021-01-05,14:15:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,14:20:00,10.15,9.86,9.99,NA
600188,兖州煤业,2021-01-05,14:25:00,10.15,9.86,10.03,NA
600188,兖州煤业,2021-01-05,14:30:00,10.15,9.86,10.02,NA
600188,兖州煤业,2021-01-05,14:35:00,10.15,9.86,10,NA
600188,兖州煤业,2021-01-05,14:40:00,10.15,9.86,10.03,NA
600188,兖州煤业,2021-01-05,14:45:00,10.15,9.86,10.04,NA
600188,兖州煤业,2021-01-05,14:50:00,10.15,9.86,10.07,NA
600188,兖州煤业,2021-01-05,14:55:00,10.15,9.86,10.07,NA
600188,兖州煤业,2021-01-05,15:00:00,10.15,9.86,10.09,NA
600188,兖州煤业,2021-01-05,15:05:00,10.15,9.86,10.05,NA
