代码_Code,证券名称_Secunm,行情日期_Qdate,标准时间_StdTime,最高价(元)_Hipr,最低价(元)_Lopr,成交价(元)_TPrice,...8
603259,药明康德,2022-01-04,09:30:00,115,115,115,NA
603259,药明康德,2022-01-04,09:35:00,115.2,111.92,112.72,NA
603259,药明康德,2022-01-04,09:40:00,115.2,111.92,112.51,NA
603259,药明康德,2022-01-04,09:45:00,115.2,111.92,112.69,NA
603259,药明康德,2022-01-04,09:50:00,115.2,111.92,112.32,NA
603259,药明康德,2022-01-04,09:55:00,115.2,111.78,112.16,NA
603259,药明康德,2022-01-04,10:00:00,115.2,111.7,111.81,NA
603259,药明康德,2022-01-04,10:05:00,115.2,111.03,111.23,NA
603259,药明康德,2022-01-04,10:10:00,115.2,111.03,111.4,NA
603259,药明康德,2022-01-04,10:15:00,115.2,110.83,110.88,NA
603259,药明康德,2022-01-04,10:20:00,115.2,110.01,110.01,NA
603259,药明康德,2022-01-04,10:25:00,115.2,109.66,110.14,NA
603259,药明康德,2022-01-04,10:30:00,115.2,109.66,109.99,NA
603259,药明康德,2022-01-04,10:35:00,115.2,109.6,110.06,NA
603259,药明康德,2022-01-04,10:40:00,115.2,109.51,109.68,NA
603259,药明康德,2022-01-04,10:45:00,115.2,109.4,109.52,NA
603259,药明康德,2022-01-04,10:50:00,115.2,109.23,109.4,NA
603259,药明康德,2022-01-04,10:55:00,115.2,109,109,NA
603259,药明康德,2022-01-04,11:00:00,115.2,108.81,109,NA
603259,药明康德,2022-01-04,11:05:00,115.2,108.41,108.44,NA
603259,药明康德,2022-01-04,11:10:00,115.2,108,108.01,NA
603259,药明康德,2022-01-04,11:15:00,115.2,107.95,108,NA
603259,药明康德,2022-01-04,11:20:00,115.2,107.95,108.5,NA
603259,药明康德,2022-01-04,11:25:00,115.2,107.95,108.5,NA
603259,药明康德,2022-01-04,11:30:00,115.2,107.95,108.22,NA
603259,药明康德,2022-01-04,11:35:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,11:40:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,11:45:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,11:50:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,11:55:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,12:00:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,12:35:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,12:40:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,12:45:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,12:50:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,12:55:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,13:00:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,13:05:00,115.2,107.95,108.23,NA
603259,药明康德,2022-01-04,13:10:00,115.2,107.7,107.82,NA
603259,药明康德,2022-01-04,13:15:00,115.2,107.3,107.33,NA
603259,药明康德,2022-01-04,13:20:00,115.2,107.22,107.51,NA
603259,药明康德,2022-01-04,13:25:00,115.2,107.22,107.25,NA
603259,药明康德,2022-01-04,13:30:00,115.2,106.76,106.79,NA
603259,药明康德,2022-01-04,13:35:00,115.2,106.75,107.38,NA
603259,药明康德,2022-01-04,13:40:00,115.2,106.75,107.06,NA
603259,药明康德,2022-01-04,13:45:00,115.2,106.75,108.48,NA
603259,药明康德,2022-01-04,13:50:00,115.2,106.75,109.97,NA
603259,药明康德,2022-01-04,13:55:00,115.2,106.75,109.1,NA
603259,药明康德,2022-01-04,14:00:00,115.2,106.75,108.95,NA
603259,药明康德,2022-01-04,14:05:00,115.2,106.75,108.68,NA
603259,药明康德,2022-01-04,14:10:00,115.2,106.75,108.68,NA
603259,药明康德,2022-01-04,14:15:00,115.2,106.75,108,NA
603259,药明康德,2022-01-04,14:20:00,115.2,106.75,107.93,NA
603259,药明康德,2022-01-04,14:25:00,115.2,106.75,107.99,NA
603259,药明康德,2022-01-04,14:30:00,115.2,106.75,107.74,NA
603259,药明康德,2022-01-04,14:35:00,115.2,106.75,107.4,NA
603259,药明康德,2022-01-04,14:40:00,115.2,106.75,107.52,NA
603259,药明康德,2022-01-04,14:45:00,115.2,106.75,107.23,NA
603259,药明康德,2022-01-04,14:50:00,115.2,106.75,107.99,NA
603259,药明康德,2022-01-04,14:55:00,115.2,106.75,107.98,NA
603259,药明康德,2022-01-04,15:00:00,115.2,106.75,108.82,NA
603259,药明康德,2022-01-04,15:05:00,115.2,106.75,108.8,NA
603259,药明康德,2022-01-04,15:10:00,115.2,106.75,108.8,NA
603259,药明康德,2022-01-04,15:15:00,115.2,106.75,108.8,NA
603259,药明康德,2022-01-04,15:20:00,115.2,106.75,108.8,NA
603259,药明康德,2022-01-04,15:25:00,115.2,106.75,108.8,NA
603259,药明康德,2022-01-04,15:30:00,115.2,106.75,108.8,NA
603259,药明康德,2022-01-05,09:30:00,107.8,107.8,107.8,NA
603259,药明康德,2022-01-05,09:35:00,109.8,107.09,109.76,NA
603259,药明康德,2022-01-05,09:40:00,109.81,107.09,109.37,NA
603259,药明康德,2022-01-05,09:45:00,110.38,107.09,110.27,NA
603259,药明康德,2022-01-05,09:50:00,110.68,107.09,110.25,NA
603259,药明康德,2022-01-05,09:55:00,110.68,107.09,109.99,NA
603259,药明康德,2022-01-05,10:00:00,110.68,107.09,109.5,NA
603259,药明康德,2022-01-05,10:05:00,110.68,107.09,110,NA
603259,药明康德,2022-01-05,10:10:00,110.68,107.09,110,NA
603259,药明康德,2022-01-05,10:15:00,110.68,107.09,109.8,NA
603259,药明康德,2022-01-05,10:20:00,110.68,107.09,109.48,NA
603259,药明康德,2022-01-05,10:25:00,110.68,107.09,109.37,NA
603259,药明康德,2022-01-05,10:30:00,110.68,107.09,108.81,NA
603259,药明康德,2022-01-05,10:35:00,110.68,107.09,109.03,NA
603259,药明康德,2022-01-05,10:40:00,110.68,107.09,108.76,NA
603259,药明康德,2022-01-05,10:45:00,110.68,107.09,108.51,NA
603259,药明康德,2022-01-05,10:50:00,110.68,107.09,108.95,NA
603259,药明康德,2022-01-05,10:55:00,110.68,107.09,108.99,NA
603259,药明康德,2022-01-05,11:00:00,110.68,107.09,109.07,NA
603259,药明康德,2022-01-05,11:05:00,110.68,107.09,109.34,NA
603259,药明康德,2022-01-05,11:10:00,110.68,107.09,109.08,NA
603259,药明康德,2022-01-05,11:15:00,110.68,107.09,108.9,NA
603259,药明康德,2022-01-05,11:20:00,110.68,107.09,108.85,NA
603259,药明康德,2022-01-05,11:25:00,110.68,107.09,108.85,NA
603259,药明康德,2022-01-05,11:30:00,110.68,107.09,108.7,NA
603259,药明康德,2022-01-05,11:35:00,110.68,107.09,108.6,NA
603259,药明康德,2022-01-05,11:40:00,110.68,107.09,108.6,NA
603259,药明康德,2022-01-05,11:45:00,110.68,107.09,108.6,NA
603259,药明康德,2022-01-05,11:50:00,110.68,107.09,108.6,NA
603259,药明康德,2022-01-05,11:55:00,110.68,107.09,108.6,NA
603259,药明康德,2022-01-05,12:00:00,110.68,107.09,108.6,NA
603259,药明康德,2022-01-05,12:35:00,110.68,107.09,108.6,NA
603259,药明康德,2022-01-05,12:40:00,110.68,107.09,108.6,NA
603259,药明康德,2022-01-05,12:45:00,110.68,107.09,108.6,NA
603259,药明康德,2022-01-05,12:50:00,110.68,107.09,108.6,NA
603259,药明康德,2022-01-05,12:55:00,110.68,107.09,108.6,NA
603259,药明康德,2022-01-05,13:00:00,110.68,107.09,108.6,NA
603259,药明康德,2022-01-05,13:05:00,110.68,107.09,109.02,NA
603259,药明康德,2022-01-05,13:10:00,110.68,107.09,108.97,NA
603259,药明康德,2022-01-05,13:15:00,110.68,107.09,108.75,NA
603259,药明康德,2022-01-05,13:20:00,110.68,107.09,108.91,NA
603259,药明康德,2022-01-05,13:25:00,110.68,107.09,108.64,NA
603259,药明康德,2022-01-05,13:30:00,110.68,107.09,108.54,NA
603259,药明康德,2022-01-05,13:35:00,110.68,107.09,108.2,NA
603259,药明康德,2022-01-05,13:40:00,110.68,107.09,108.5,NA
603259,药明康德,2022-01-05,13:45:00,110.68,107.09,108.33,NA
603259,药明康德,2022-01-05,13:50:00,110.68,107.09,108.25,NA
603259,药明康德,2022-01-05,13:55:00,110.68,107.09,108.48,NA
603259,药明康德,2022-01-05,14:00:00,110.68,107.09,108.4,NA
603259,药明康德,2022-01-05,14:05:00,110.68,107.09,109.68,NA
603259,药明康德,2022-01-05,14:10:00,110.68,107.09,109.9,NA
603259,药明康德,2022-01-05,14:15:00,110.68,107.09,109.8,NA
603259,药明康德,2022-01-05,14:20:00,110.68,107.09,109.88,NA
603259,药明康德,2022-01-05,14:25:00,110.68,107.09,109.72,NA
603259,药明康德,2022-01-05,14:30:00,110.68,107.09,109.83,NA
603259,药明康德,2022-01-05,14:35:00,110.68,107.09,109.78,NA
603259,药明康德,2022-01-05,14:40:00,110.68,107.09,109.87,NA
603259,药明康德,2022-01-05,14:45:00,110.68,107.09,109.95,NA
603259,药明康德,2022-01-05,14:50:00,110.68,107.09,110.05,NA
603259,药明康德,2022-01-05,14:55:00,110.68,107.09,109.88,NA
603259,药明康德,2022-01-05,15:00:00,110.68,107.09,109.59,NA
603259,药明康德,2022-01-05,15:05:00,110.68,107.09,109.76,NA
603259,药明康德,2022-01-05,15:10:00,110.68,107.09,109.76,NA
603259,药明康德,2022-01-05,15:15:00,110.68,107.09,109.76,NA
603259,药明康德,2022-01-05,15:20:00,110.68,107.09,109.76,NA
603259,药明康德,2022-01-05,15:25:00,110.68,107.09,109.76,NA
603259,药明康德,2022-01-05,15:30:00,110.68,107.09,109.76,NA
603259,药明康德,2022-01-06,09:30:00,108.5,108.5,108.5,NA
603259,药明康德,2022-01-06,09:35:00,111,108.15,110.97,NA
603259,药明康德,2022-01-06,09:40:00,111.3,108.15,110.25,NA
603259,药明康德,2022-01-06,09:45:00,111.36,108.15,110.34,NA
603259,药明康德,2022-01-06,09:50:00,111.36,108.15,110.88,NA
603259,药明康德,2022-01-06,09:55:00,111.36,108.15,111.14,NA
603259,药明康德,2022-01-06,10:00:00,111.36,108.15,110.94,NA
603259,药明康德,2022-01-06,10:05:00,111.36,108.15,110.45,NA
603259,药明康德,2022-01-06,10:10:00,111.36,108.15,109.99,NA
603259,药明康德,2022-01-06,10:15:00,111.36,108.15,109,NA
603259,药明康德,2022-01-06,10:20:00,111.36,108.15,108.62,NA
603259,药明康德,2022-01-06,10:25:00,111.36,108.15,108.67,NA
603259,药明康德,2022-01-06,10:30:00,111.36,108.15,109,NA
603259,药明康德,2022-01-06,10:35:00,111.36,108.15,109,NA
603259,药明康德,2022-01-06,10:40:00,111.36,108.15,108.54,NA
603259,药明康德,2022-01-06,10:45:00,111.36,108.15,108.25,NA
603259,药明康德,2022-01-06,10:50:00,111.36,107.51,108.3,NA
603259,药明康德,2022-01-06,10:55:00,111.36,107.51,108.48,NA
603259,药明康德,2022-01-06,11:00:00,111.36,107.51,108.59,NA
603259,药明康德,2022-01-06,11:05:00,111.36,107.51,108.88,NA
603259,药明康德,2022-01-06,11:10:00,111.36,107.51,108.75,NA
603259,药明康德,2022-01-06,11:15:00,111.36,107.51,108.84,NA
603259,药明康德,2022-01-06,11:20:00,111.36,107.51,109,NA
603259,药明康德,2022-01-06,11:25:00,111.36,107.51,108.8,NA
603259,药明康德,2022-01-06,11:30:00,111.36,107.51,108.68,NA
603259,药明康德,2022-01-06,11:35:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,11:40:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,11:45:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,11:50:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,11:55:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,12:00:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,12:35:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,12:40:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,12:45:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,12:50:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,12:55:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,13:00:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,13:05:00,111.36,107.51,109.07,NA
603259,药明康德,2022-01-06,13:10:00,111.36,107.51,109.21,NA
603259,药明康德,2022-01-06,13:15:00,111.36,107.51,108.72,NA
603259,药明康德,2022-01-06,13:20:00,111.36,107.51,109.16,NA
603259,药明康德,2022-01-06,13:25:00,111.36,107.51,109.37,NA
603259,药明康德,2022-01-06,13:30:00,111.36,107.51,109.32,NA
603259,药明康德,2022-01-06,13:35:00,111.36,107.51,109.06,NA
603259,药明康德,2022-01-06,13:40:00,111.36,107.51,108.86,NA
603259,药明康德,2022-01-06,13:45:00,111.36,107.51,108.91,NA
603259,药明康德,2022-01-06,13:50:00,111.36,107.51,108.73,NA
603259,药明康德,2022-01-06,13:55:00,111.36,107.51,108.66,NA
603259,药明康德,2022-01-06,14:00:00,111.36,107.51,108.81,NA
603259,药明康德,2022-01-06,14:05:00,111.36,107.51,108.68,NA
603259,药明康德,2022-01-06,14:10:00,111.36,107.51,108.95,NA
603259,药明康德,2022-01-06,14:15:00,111.36,107.51,108.74,NA
603259,药明康德,2022-01-06,14:20:00,111.36,107.51,108.51,NA
603259,药明康德,2022-01-06,14:25:00,111.36,107.51,108.27,NA
603259,药明康德,2022-01-06,14:30:00,111.36,107.51,108.27,NA
603259,药明康德,2022-01-06,14:35:00,111.36,107.51,108.05,NA
603259,药明康德,2022-01-06,14:40:00,111.36,107.51,108.15,NA
603259,药明康德,2022-01-06,14:45:00,111.36,107.51,108.08,NA
603259,药明康德,2022-01-06,14:50:00,111.36,107.51,108.09,NA
603259,药明康德,2022-01-06,14:55:00,111.36,107.51,108.06,NA
603259,药明康德,2022-01-06,15:00:00,111.36,107.51,108.34,NA
603259,药明康德,2022-01-06,15:05:00,111.36,107.51,108.11,NA
603259,药明康德,2022-01-06,15:10:00,111.36,107.51,108.11,NA
603259,药明康德,2022-01-06,15:15:00,111.36,107.51,108.11,NA
603259,药明康德,2022-01-06,15:20:00,111.36,107.51,108.11,NA
603259,药明康德,2022-01-06,15:25:00,111.36,107.51,108.11,NA
603259,药明康德,2022-01-06,15:30:00,111.36,107.51,108.11,NA
603259,药明康德,2022-01-07,09:30:00,108.3,108.3,108.3,NA
603259,药明康德,2022-01-07,09:35:00,108.9,107.8,108.65,NA
603259,药明康德,2022-01-07,09:40:00,109.1,107.8,109,NA
603259,药明康德,2022-01-07,09:45:00,109.1,107.8,108.6,NA
603259,药明康德,2022-01-07,09:50:00,109.1,107.8,108.76,NA
603259,药明康德,2022-01-07,09:55:00,109.1,107.8,109,NA
603259,药明康德,2022-01-07,10:00:00,109.66,107.8,109.4,NA
603259,药明康德,2022-01-07,10:05:00,109.66,107.8,109.32,NA
603259,药明康德,2022-01-07,10:10:00,109.66,107.8,108.99,NA
603259,药明康德,2022-01-07,10:15:00,109.66,107.8,108.75,NA
603259,药明康德,2022-01-07,10:20:00,109.66,107.8,108.71,NA
603259,药明康德,2022-01-07,10:25:00,109.66,107.8,108.9,NA
603259,药明康德,2022-01-07,10:30:00,109.66,107.8,108.81,NA
603259,药明康德,2022-01-07,10:35:00,109.66,107.8,108.7,NA
603259,药明康德,2022-01-07,10:40:00,109.66,107.8,108.04,NA
603259,药明康德,2022-01-07,10:45:00,109.66,107.15,107.57,NA
603259,药明康德,2022-01-07,10:50:00,109.66,107.15,107.92,NA
603259,药明康德,2022-01-07,10:55:00,109.66,107.15,108.01,NA
603259,药明康德,2022-01-07,11:00:00,109.66,107.15,108.19,NA
603259,药明康德,2022-01-07,11:05:00,109.66,107.15,107.89,NA
603259,药明康德,2022-01-07,11:10:00,109.66,107.15,107.9,NA
603259,药明康德,2022-01-07,11:15:00,109.66,107.15,107.84,NA
603259,药明康德,2022-01-07,11:20:00,109.66,107.15,107.75,NA
603259,药明康德,2022-01-07,11:25:00,109.66,107.15,107.89,NA
603259,药明康德,2022-01-07,11:30:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,11:35:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,11:40:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,11:45:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,11:50:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,11:55:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,12:00:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,12:35:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,12:40:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,12:45:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,12:50:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,12:55:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,13:00:00,109.66,107.15,107.87,NA
603259,药明康德,2022-01-07,13:05:00,109.66,107.15,108,NA
603259,药明康德,2022-01-07,13:10:00,109.66,107.15,108.42,NA
603259,药明康德,2022-01-07,13:15:00,109.66,107.15,108.98,NA
603259,药明康德,2022-01-07,13:20:00,109.66,107.15,108.98,NA
603259,药明康德,2022-01-07,13:25:00,109.66,107.15,109.15,NA
603259,药明康德,2022-01-07,13:30:00,109.66,107.15,109.34,NA
603259,药明康德,2022-01-07,13:35:00,109.66,107.15,109.38,NA
