观测序号_Nobs,代码_Code,证券名称_Secunm,行情日期_Qdate,标准时间_StdTime,最高价(元)_Hipr,最低价(元)_Lopr,成交价(元)_TPrice,...9
1,600000,浦发银行,2017-01-03,09:20:00,NA,NA,NA,NA
2,600000,浦发银行,2017-01-03,09:25:00,NA,NA,NA,NA
3,600000,浦发银行,2017-01-03,09:30:00,16.21,16.21,16.21,NA
4,600000,浦发银行,2017-01-03,09:35:00,16.24,16.17,16.21,NA
5,600000,浦发银行,2017-01-03,09:40:00,16.27,16.17,16.27,NA
6,600000,浦发银行,2017-01-03,09:45:00,16.31,16.17,16.29,NA
7,600000,浦发银行,2017-01-03,09:50:00,16.43,16.17,16.43,NA
8,600000,浦发银行,2017-01-03,09:55:00,16.44,16.17,16.38,NA
9,600000,浦发银行,2017-01-03,10:00:00,16.44,16.17,16.38,NA
10,600000,浦发银行,2017-01-03,10:05:00,16.44,16.17,16.34,NA
11,600000,浦发银行,2017-01-03,10:10:00,16.44,16.17,16.4,NA
12,600000,浦发银行,2017-01-03,10:15:00,16.44,16.17,16.39,NA
13,600000,浦发银行,2017-01-03,10:20:00,16.44,16.17,16.38,NA
14,600000,浦发银行,2017-01-03,10:25:00,16.44,16.17,16.35,NA
15,600000,浦发银行,2017-01-03,10:30:00,16.44,16.17,16.35,NA
16,600000,浦发银行,2017-01-03,10:35:00,16.44,16.17,16.35,NA
17,600000,浦发银行,2017-01-03,10:40:00,16.44,16.17,16.35,NA
18,600000,浦发银行,2017-01-03,10:45:00,16.44,16.17,16.37,NA
19,600000,浦发银行,2017-01-03,10:50:00,16.44,16.17,16.36,NA
20,600000,浦发银行,2017-01-03,10:55:00,16.44,16.17,16.33,NA
21,600000,浦发银行,2017-01-03,11:00:00,16.44,16.17,16.33,NA
22,600000,浦发银行,2017-01-03,11:05:00,16.44,16.17,16.31,NA
23,600000,浦发银行,2017-01-03,11:10:00,16.44,16.17,16.31,NA
24,600000,浦发银行,2017-01-03,11:15:00,16.44,16.17,16.3,NA
25,600000,浦发银行,2017-01-03,11:20:00,16.44,16.17,16.28,NA
26,600000,浦发银行,2017-01-03,11:25:00,16.44,16.17,16.23,NA
27,600000,浦发银行,2017-01-03,11:30:00,16.44,16.17,16.24,NA
28,600000,浦发银行,2017-01-03,13:05:00,16.44,16.17,16.24,NA
29,600000,浦发银行,2017-01-03,13:10:00,16.44,16.17,16.26,NA
30,600000,浦发银行,2017-01-03,13:15:00,16.44,16.17,16.28,NA
31,600000,浦发银行,2017-01-03,13:20:00,16.44,16.17,16.27,NA
32,600000,浦发银行,2017-01-03,13:25:00,16.44,16.17,16.32,NA
33,600000,浦发银行,2017-01-03,13:30:00,16.44,16.17,16.3,NA
34,600000,浦发银行,2017-01-03,13:35:00,16.44,16.17,16.34,NA
35,600000,浦发银行,2017-01-03,13:40:00,16.44,16.17,16.31,NA
36,600000,浦发银行,2017-01-03,13:45:00,16.44,16.17,16.31,NA
37,600000,浦发银行,2017-01-03,13:50:00,16.44,16.17,16.32,NA
38,600000,浦发银行,2017-01-03,13:55:00,16.44,16.17,16.3,NA
