代码_Code,证券名称_Secunm,行情日期_Qdate,标准时间_StdTime,最高价(元)_Hipr,最低价(元)_Lopr,成交价(元)_TPrice,...8
600000,浦发银行,2021-07-07,13:20:00,10.04,9.94,9.97,NA
600000,浦发银行,2021-07-07,13:25:00,10.04,9.94,9.97,NA
600000,浦发银行,2021-07-07,13:30:00,10.04,9.94,9.96,NA
600000,浦发银行,2021-07-07,13:35:00,10.04,9.94,9.97,NA
600000,浦发银行,2021-07-07,13:40:00,10.04,9.94,9.97,NA
600000,浦发银行,2021-07-07,13:45:00,10.04,9.94,9.98,NA
600000,浦发银行,2021-07-07,13:50:00,10.04,9.94,9.97,NA
600000,浦发银行,2021-07-07,13:55:00,10.04,9.94,10.01,NA
600000,浦发银行,2021-07-07,14:00:00,10.04,9.94,10,NA
600000,浦发银行,2021-07-07,14:05:00,10.04,9.94,9.99,NA
600000,浦发银行,2021-07-07,14:10:00,10.04,9.94,10,NA
600000,浦发银行,2021-07-07,14:15:00,10.04,9.94,10,NA
600000,浦发银行,2021-07-07,14:20:00,10.04,9.94,10.01,NA
600000,浦发银行,2021-07-07,14:25:00,10.04,9.94,10.01,NA
600000,浦发银行,2021-07-07,14:30:00,10.04,9.94,10.02,NA
600000,浦发银行,2021-07-07,14:35:00,10.04,9.94,10.03,NA
600000,浦发银行,2021-07-07,14:40:00,10.04,9.94,10.02,NA
600000,浦发银行,2021-07-07,14:45:00,10.04,9.94,10.03,NA
600000,浦发银行,2021-07-07,14:50:00,10.04,9.94,10.02,NA
600000,浦发银行,2021-07-07,14:55:00,10.04,9.94,10.03,NA
600000,浦发银行,2021-07-07,15:00:00,10.04,9.94,10.04,NA
600000,浦发银行,2021-07-07,15:05:00,10.04,9.94,10.03,NA
600000,浦发银行,2021-07-07,15:10:00,10.04,9.94,10.03,NA
600000,浦发银行,2021-07-07,15:15:00,10.04,9.94,10.03,NA
600000,浦发银行,2021-07-07,15:20:00,10.04,9.94,10.03,NA
600000,浦发银行,2021-07-07,15:25:00,10.04,9.94,10.03,NA
600000,浦发银行,2021-07-07,15:30:00,10.04,9.94,10.03,NA
600000,浦发银行,2021-07-08,09:30:00,10.05,10.05,10.05,NA
600000,浦发银行,2021-07-08,09:35:00,10.05,9.99,9.99,NA
600000,浦发银行,2021-07-08,09:40:00,10.05,9.97,9.98,NA
600000,浦发银行,2021-07-08,09:45:00,10.05,9.97,10,NA
600000,浦发银行,2021-07-08,09:50:00,10.05,9.97,9.99,NA
600000,浦发银行,2021-07-08,09:55:00,10.05,9.97,10,NA
600000,浦发银行,2021-07-08,10:00:00,10.05,9.97,9.98,NA
600000,浦发银行,2021-07-08,10:05:00,10.05,9.96,9.96,NA
600000,浦发银行,2021-07-08,10:10:00,10.05,9.96,9.98,NA
600000,浦发银行,2021-07-08,10:15:00,10.05,9.96,9.98,NA
600000,浦发银行,2021-07-08,10:20:00,10.05,9.96,9.98,NA
600000,浦发银行,2021-07-08,10:25:00,10.05,9.96,9.96,NA
600000,浦发银行,2021-07-08,10:30:00,10.05,9.96,9.96,NA
600000,浦发银行,2021-07-08,10:35:00,10.05,9.96,9.97,NA
600000,浦发银行,2021-07-08,10:40:00,10.05,9.96,9.97,NA
600000,浦发银行,2021-07-08,10:45:00,10.05,9.96,9.96,NA
600000,浦发银行,2021-07-08,10:50:00,10.05,9.95,9.97,NA
600000,浦发银行,2021-07-08,10:55:00,10.05,9.95,9.96,NA
600000,浦发银行,2021-07-08,11:00:00,10.05,9.95,9.95,NA
600000,浦发银行,2021-07-08,11:05:00,10.05,9.94,9.94,NA
600000,浦发银行,2021-07-08,11:10:00,10.05,9.94,9.94,NA
600000,浦发银行,2021-07-08,11:20:00,10.05,9.94,9.95,NA
600000,浦发银行,2021-07-08,11:25:00,10.05,9.94,9.95,NA
600000,浦发银行,2021-07-08,11:30:00,10.05,9.94,9.95,NA
600000,浦发银行,2021-07-08,11:35:00,10.05,9.94,9.95,NA
600000,浦发银行,2021-07-08,11:40:00,10.05,9.94,9.95,NA
600000,浦发银行,2021-07-08,11:45:00,10.05,9.94,9.95,NA
600000,浦发银行,2021-07-08,11:50:00,10.05,9.94,9.95,NA
